,URL,Property_Type,MLS/Listing_ID,Full_Street_Address,Neighborhood,ZipCode,Price,Description,Dishwasher,beds,Baths,Interior,Year_Built,Patio,Pool,Air_Conditioning,Garage_-_Attached,Water_View,New_Construction,Stucco,Brick,Pre-War,Courtyard,Wood_Heating,Frame,Gardens,Pets_Allowed,Stone,Garage,Concrete_Block,Central_Air_Conditioning,Private_Storage,Terrace,Aluminum_Siding,Cedar_Siding,Storage_Room,Washer_Dryer_Included,Concrete_Siding,Wood,Wooded,on_market_date,Exercise_Room,Half_Bath_(F),Vinyl_(F),Interior_Sq_Ft,Exterior_Acres,Address_Number,Street,Street_adj,last,second_last,second,address_addendum,apt_num
0,https://www.elliman.com/newyorkcity/sales/detail/527-l-552-01_4419664/720-point-crescent-whitestone-queens-ny-11357,Single Family Home,4419664,720 Point Crescent,Whitestone,11357.0,10000000.0,"Click for NYS Housing Discrimination Disclosure Notice & Form30 MINUTES OUTSIDE OF MANHATTAN!Suburban private and secluded gated in living on the water only 30 Minute commute to MANHATTAN. A beautifully designed Italian villa situated ON THE WATER in the private neighborhood of MALBA New York. An incredibly special private enclave inside the edge of Queens NYC. Just under 60x198 ft lot 6,569 sqft gorgeous home on the water. Full spa, gym, two wine cellars, game room, two full kitchens, elevator, grand master bedroom Private yacht club and boat slip included. Enjoy the perks of living on the water with a private yacht club with only a short commute into NYC. An incredibly unique and rare opportunity!",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,720,Point Crescent,"['POINT', 'CRESCENT']",CRESCENT,POINT,CRESCENT,,
1,https://www.elliman.com/newyorkcity/sales/detail/612-l-567-16_3254581/32-boulevard-malba-queens-ny-11357,Single Family Home,3254581,32 Boulevard,Malba,11357.0,8988000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormLuxury Redefined at Palazzo di Acqua, an Unsurpassed Uber Distinguished & Elegant 4 Level All-Brick Custom-Built European Center Hall Colonial in the Renowned, Affluent & Elite Enclave of Malba. Encompassing over 7,200 sq feet of Ultra Luxurious & Upscale Living Space, Palazzo di Acqua has a Feng Shui Inspired Architectural Design providing Elements of Metal, Water, Wood, Fire & Earth. Newly Built & Completed in 2009 with Unparalleled Architectural Details & Meticulous Craftsmanship. This Astounding North-facing Waterfront Royal Residence Welcomes You & Your Guests with Double-Door Grand Wrought Iron 2-Story Open Grand Entry Foyer. You will be Enamored from the Instant you Arrive to Palazzo di Acqua, commencing the Sweeping Waterviews that Start Upon Arrival and Continue Inside throughout Every Room. An Abundance of Natural Light, Breathtaking Views & Lavish Details adorn this Extravagant Residence. Palazzo di Acqua Offers a Multitude of Fine Finishes & Rare Amenities you will be Delighted to Discover at Every Turn including a Palatial Curved Bridal Staircase w/ Dual Balcony & Loft, Custom Double Crown Moldings & Customized Wood Trim Package In Each Room, Interior & Exterior Bluetooth Surround Sound, Coffered & Tray Ceilings, Cigar Lounge, Movie Theatre, Gym & 2 Gas Fireplaces, to name a few.  Meticulous & Tastefully Designed. No wallpaper in this home, it is ALL Stylishly & Elegantly Hand-Painted.  Nestled in the most Desirable of Neighborhoods and Top-Rated, Highly Sought-After School District Community 25.  Palazzo di Acqua is Gracefully Situated Elevated on a Hill in a Quiet, Serene, Private & Secluded Waterfront Position in a World & Class of its Own on a Voluminous 65x133 (.25 Acre) Property. No expense was spared from the 1st and only Owners.  Outdoor Space Offers Complete Beauty, Luxury, Practicality & Security with an Elegant All Brick Wall Surrounding the property. Superior Catwalk allows for Easy Entertaining & Flow for Parties.  You Truly Never Need to Leave your Residence. Work, Live, Eat,  Play & Sleep at Palazzo di Acqua! Resort-Style Backyard like no other.  All Day Rear Sunlight for Sunseekers. Covered Oversized Paved / Bluestone Raised Patio for Shade Seekers. Built-in All Brick Full Outdoor Gas Kitchen. Outdoor Fireplace (3rd). Top-of-the Line Heated Salt-Water Gunite Pool w/ Waterfall & Surrounded w/ Submerged Seating Ledge and Upper Tier Hot Tub. Paved Patio w/ Additional Seating Areas, Fully Paved. Whether you are an Avid Entertainer or Like Quiet Evenings at home, this Royal Residence is sure to Suit your Each & Every Desire.  Relish Magnificent Ocean Breezes & Breathtaking Scenery, Water & Bridge Views.  Enjoy Sunrises and Sunsets from Palazzo di Acqua Daily.  Less than a half hour to Manhattan, less than 5 minutes to public transportation, LIRR, all Parkways, Private Beach, Marina and Club. Bring your Boat!  Palazzo di Acqua comes with your very own deeded Private Marina Boat Slip!   Welcome home to your Future of Fortune, Luxury, Convenience and Joy. Dare to Live the Opulent Lifestyle you have Imagined. Forget the Rest, You Deserve the Best! Spend your First Holidays Here in 2020!  Contact me Today to Make it Yours!  Welcome home to Palazzo di Acqua in Malba. Video Tour at https://youtu.be/DSdRbPabGFA",,6.0,5.0,"7,218 
				Sq Ft.",2009.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7218.0,0.17,32,Boulevard,['BOULEVARD'],BOULEVARD,,,,
2,https://www.elliman.com/newyorkcity/sales/detail/527-l-562-16_3040190/6-02-158th-street-beechhurst-queens-ny-11357,Single Family Home,3040190,6-02 158th Street,Beechhurst,11357.0,5999999.0,"Click for NYS Housing Discrimination Disclosure Notice & FormWaterfront Mediterranean Villa w/Bridge Views In Gated Community Made W/The Highest Quality Materials & Workmanship W/ 7 Brms, 6 Full Baths, 2.5 Half Baths, FLR, FDR, Family Rm, 4 Car Garage, 3 Fireplaces, Elevator, Florida Room, State-Of-The Art Kitchen W/Viking Appliances, Bars, Mahogany 20Ft.+ Grand Foyer W/ Wrought Iron Rails & Magnificent Crystal Chandelier, Entertainment, Level & More... Exterior Grounds Incl. Full Stone Kitchen/Barbecue Area, Ig Pool, Dock For 60Ft. Boat & Gazebo",,7.0,6.0,"7,500 
				Sq Ft.",2009.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,7500.0,0.5,6-02,158th Street,"['158TH', 'STREET']",STREET,158,STREET,,
3,https://www.elliman.com/newyorkcity/sales/detail/527-l-562-16_3214989/42-65-main-street-flushing-queens-ny-11355,Multi Family Townhouse,3214989,42-65 Main Street,Flushing,11355.0,3588000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormRare mixed use investment opportunity located along Main Street in active downtown Flushing.Two (2) units above one (1) commercial space, basement & two parking spaces. Building is exceptionally well maintained. Ground floor may be expanded & property has approximately 2560sf unused FAR. Good income generating property w/value add potential. Desirable  commercial location close to transportation, shopping & attractions. Suitable for investor/developer, or owner occupant.",,6.0,2.0,,1968.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,0.06,42-65,Main Street,"['MAIN', 'STREET']",STREET,MAIN,STREET,,
4,https://www.elliman.com/newyorkcity/sales/detail/527-l-551-01_4429870/10-22-47th-avenue-hunters-point-queens-ny-11101,Multi Family Townhouse,4429870,10-22 47th Avenue,Hunters Point,,3500000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormGut Renovated 2-Family Home with Private Front Yard & Driveway  Located in the heart of Long Island City's waterfront neighborhood Hunters Point, sits this rare and exceptional 25' x 30' Two-Family home with 2,250 square feet of living space, a private front yard with outdoor kitchen, and a private driveway that fits 2 cars in tandem. Rarely does a home of this quality, in this coveted and convenient neighborhood, come to market. Truly a find ? perfect for the investor, or the buyer seeking an owner residence with rental income.  Superbly gut renovated, this home sits on a wide 25' x 100' lot and exudes elegance throughout combining space, light, and clean modern lines. No detail was overlooked when renovating this home. The gated front yard is bright and expansive and offers ample garden space with sitting area adjacent to the gravel driveway, and comes equipped with an outdoor kitchen outfitted with a BBQ grille and refrigerator. Plenty of room to entertain guests or bask in the sun with supreme privacy.  Enter this finely crafted home up the impressive front stoop where you are immediately drawn in by the bright red front door. Upon entry to the parlor level, you are lead into a vestibule with to doors for both residences. The 1st Floor is laid out as a 1-Bedroom, 1-Bath with open kitchen and spacious living room, with stairs leading down to a large finished basement offering an additional full bath. An ideal space for a family den or an oversized 2nd bedroom. The 2nd floor residence is laid out as a 2-Bedroom, 1-Bath with open kitchen and bright living room.  All interiors were fully gut renovated, common spaces were updated, new electric, plumbing, and skylight were installed, and the roof was updated. Each residence features a video intercom security system, new wood floors, a new heating system, open Chef's style kitchens with marble countertops and top of the line stainless steel appliances, brand new bathrooms, and are wired for Verizon Fios.  This excellent address is perfectly situated in the Hunters Point neighborhood of Long Island City, which is considered one of the most desirable and valuable markets in Western Queens. It is only 2 blocks away from the beautiful waterfront parks boasting premier Manhattan skyline views, benefits from the East River Ferry access, and is only a few blocks to the 7/E/M/G subway trains providing a quick 10-minute commute into midtown Manhattan. Enjoy peace and quiet away from the city noise as LIC offers the ultimate living experience with diverse cultural and culinary establishments, fine shops, the best views in the city, and much more!  10-20 47th Ave just next door is also available for sale. Purchase together to combine and make a 43' x 100' lot.  Showing by private appointment only. Please call or email for set-up sheet and further information.",1.0,3.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,10-22,47th Avenue,"['47TH', 'AVENUE']",AVENUE,47,AVENUE,,
5,https://www.elliman.com/newyorkcity/sales/detail/527-l-551-01_4429868/10-20-47th-avenue-hunters-point-queens-ny-11101,Multi Family Townhouse,4429868,10-20 47th Avenue,Long Island City,,3500000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormGut Renovated 3-Family in Prime LIC  Built in 1901, this 18' x 32' semi-attached, Three-Family house sits on an 18' x 100' lot and offers approximately 2,300 square feet of living space with a beautiful backyard garden. Rarely does a multifamily home of this caliber, in this coveted and convenient neighborhood, come to market. Truly a find ? perfect for the investor, or the buyer seeking an owner residence with two rental income apartments.  In its current configuration, the 1st Floor entrance opens into a foyer with access to the ground floor residence or a staircase leading to the 2nd & 3rd floors. The ground floor residence is laid out as a spacious 1-Bedroom, 1-Bath with a private 600 square foot backyard garden. Both the second and third levels are uniquely laid out as a 2-Bedroom, 1-Bath residence with room for a home office and receive great natural sunlight with both northern and southern exposures.  All interiors were fully gut renovated, common spaces were updated, new electric, plumbing, and skylight were installed, and the roof was updated. Each residence features a video intercom security system, new wood floors, a new heating system, open Chef's style kitchens with marble countertops and top of the line stainless steel appliances, brand new bathrooms, and are wired for Verizon Fios.  This excellent address is perfectly situated in the Hunters Point neighborhood of Long Island City, which is considered one of the most desirable and valuable markets in Western Queens. It is only 2 blocks away from the beautiful waterfront parks boasting premier Manhattan skyline views, benefits from the East River Ferry access, and is only a few blocks to the 7/E/M/G subway trains providing a quick 10-minute commute into midtown Manhattan. Enjoy peace and quiet away from the city noise as LIC offers the ultimate living experience with diverse cultural and culinary establishments, fine shops, the best views in the city & much more! 10-22 47th Ave just next door is also available for sale. Purchase together to combine and make a 43' x 100' lot.  Showing by private appointment only. Please call or email for set-up sheet and further information.",1.0,5.0,3.0,"2,210 
				Sq Ft.",1901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2210.0,,10-20,47th Avenue,"['47TH', 'AVENUE']",AVENUE,47,AVENUE,,
6,https://www.elliman.com/newyorkcity/sales/detail/527-l-594-01_4200137/45-43-21st-st-hunters-point-queens-ny-11101,Investment,4200137,45-43 21st St,Long Island City,,2980000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormPRICE REDUCED! Rare opportunity to own a completely renovated and updated commercial building with air rights and unused residential FAR. This building is located in the heart of booming Long Island City just blocks from a main subway hub which is just 1 stop to Manhattan and 1 block from  multiple large scale residential developments soon to hit the market. The potential upside to owning this building as an investment or end user is incredible. The owner has meticulously renovated and updated the building and brought the building into compliance with ADA guidelines. This is the perfect building for an owner looking for a great investment opportunity or an end user looking for a building that is move in ready. The property also comes with a parking space.-Retail Ground floor - 2000 SF - Currently Unoccupied - Market Rate Rent is $60/PSF-Lower Level - 1800 SF - Currently Unoccupied - Market Rate Rent is $30/PSF-Upper Level Office - 748 SF - Currently Occupied by a yoga studio.Please virtually tour this property using the link below (or available upon request):https://my.matterport.com/show/?m=j4RnpRbwy4z**PLEASE NOTE: Open House By Appointment ONLY. NO Walk-Ins. MUST email in advance to schedule, thank you.**",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,45-43,21st St,"['21ST', 'ST']",STREET,21ST,ST,,
7,https://www.elliman.com/newyorkcity/sales/detail/612-l-592-16_3225573/6-beverly-road-douglaston-queens-ny-11363,Single Family Home,3225573,6 Beverly Road,Douglaston,11363.0,2950000.0,"Click for NYS Housing Discrimination Disclosure Notice & FormA one of a kind 6 bedroom residence in Douglas Manor. An exclusive waterfront community 27 minutes from NYC. Just steps from the water, this 1900 stone construction house is an architectural gem inside and out, with breathtaking direct views of the bay and bridges. Sit back and relax while entertaining on the huge deck overlooking the bay and watch spectacular sunsets as boats sail by.",,6.0,3.0,"4,700 
				Sq Ft.",1909.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,4700.0,0.23,6,Beverly Road,"['BEVERLY', 'ROAD']",ROAD,BEVERLY,ROAD,,
8,https://www.elliman.com/newyorkcity/sales/detail/527-l-700-01_4081249/5-13-51st-avenue-hunters-point-queens-ny-11101,Multi Family Townhouse,4081249,5-13 51st Avenue,Long Island City,,2749000.0,Click for NYS Housing Discrimination Disclosure Notice & FormPLEASE KEEP IN MIND THAT ALL OPEN HOUSES + SHOWINGS ARE BY APPOINTMENT ONLY! Welcome to 5-13 51st Avenue! Available for the first time after being owned by the same family for 89 years. This legal six-family is just one block away from the Vernon Blvd/Jackson Avenue 7 train and a short walk to the East River Ferry making commuting the commute to the city just minutes awayThe building is extremely well maintained. It is in an amazing condition.,1.0,6.0,6.0,"3,600 
				Sq Ft.",,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,3600.0,,5-13,51st Avenue,"['51ST', 'AVENUE']",AVENUE,51ST,AVENUE,,
9,https://www.elliman.com/newyorkcity/sales/detail/527-l-562-16_3223163/42-11-haight-street-flushing-queens-ny-11355,Multi Family Townhouse,3223163,42-11 Haight Street,Flushing,11355.0,2500000.0,Click for NYS Housing Discrimination Disclosure Notice & FormDet colonial being sold for LAND VALUE M1-1 zoning,,2.0,2.0,"1,920 
				Sq Ft.",1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1920.0,0.06,42-11,Haight Street,"['HAIGHT', 'STREET']",STREET,HAIGHT,STREET,,
