,Name,County,Fare Zone,the_geom,STOPNAME,latlon,lat,lon,In zipcode,In neighborhood,Miles to Penn Station
4,Auburndale,Queens,3.0,POINT (-73.78996000000005 40.761430000000026),Auburndale,"['-73.78996000000005', '40.761430000000026']",40.761430000000000,-73.78996000000010,11358,Auburndale,9.5
8,Bayside,Queens,3.0,POINT (-73.77125000000005 40.76314000000003),Bayside,"['-73.77125000000005', '40.76314000000003']",40.76314000000000,-73.77125000000010,11361,Bayside,10.8
15,Broadway,Queens,3.0,POINT (-73.80176000000006 40.76164000000003),Broadway,"['-73.80176000000006', '40.76164000000003']",40.76164000000000,-73.80176000000010,11358,Murray Hill,9.2
24,Douglaston,Queens,3.0,POINT (-73.74941000000005 40.76806000000003),Douglaston,"['-73.74941000000005', '40.76806000000003']",40.76806000000000,-73.74941000000010,11363,Douglaston,12.1
29,Far Rockaway,Queens,4.0,POINT (-73.75054000000006 40.60913000000003),Far Rockaway,"['-73.75054000000006', '40.60913000000003']",40.60913000000000,-73.75054000000010,11691,Far Rockaway,20.4
32,Forest Hills,Queens,1.0,POINT (-73.84481000000005 40.719570000000026),Forest Hills,"['-73.84481000000005', '40.719570000000026']",40.719570000000000,-73.84481000000010,11375,Forest Hills,6.7
49,Hollis,Queens,3.0,POINT (-73.76675000000006 40.710170000000026),Hollis,"['-73.76675000000006', '40.710170000000026']",40.710170000000000,-73.76675000000010,11423,Hollis,11.5
50,Hunterspoint Avenue,Queens,1.0,POINT (-73.94679000000005 40.74238000000003),Hunterspoint Avenue,"['-73.94679000000005', '40.74238000000003']",40.74238000000000,-73.94679000000010,11101,Long Island City,2.8
55,Jamaica,Queens,3.0,POINT (-73.80853000000006 40.699600000000025),Jamaica,"['-73.80853000000006', '40.699600000000025']",40.699600000000000,-73.80853000000010,11435,Jamacia,9.3
56,Kew Gardens,Queens,1.0,POINT (-73.83089000000005 40.70964000000003),Kew Gardens,"['-73.83089000000005', '40.70964000000003']",40.70964000000000,-73.83089000000010,11415,Kew Gardens,7.7
59,Laurelton,Queens,3.0,POINT (-73.75175000000006 40.668470000000035),Laurelton,"['-73.75175000000006', '40.668470000000035']",40.668470000000000,-73.75175000000010,11413,Laurelton,13.1
62,Little Neck,Queens,3.0,POINT (-73.74065000000006 40.77504000000003),Little Neck,"['-73.74065000000006', '40.77504000000003']",40.77504000000000,-73.74065000000010,11363,Little Neck,12.7
63,Locust Manor,Queens,3.0,POINT (-73.76504000000006 40.67513000000004),Locust Manor,"['-73.76504000000006', '40.67513000000004']",40.67513000000000,-73.76504000000010,11434,Rochedale,12.2
66,Long Island City,Queens,1.0,POINT (-73.95639000000006 40.74128000000003),Long Island City,"['-73.95639000000006', '40.74128000000003']",40.74128000000000,-73.95639000000010,11101,Long Island City,2.8
78,Murray Hill,Queens,3.0,POINT (-73.81454000000005 40.76270000000004),Murray Hill,"['-73.81454000000005', '40.76270000000004']",40.76270000000000,-73.81454000000010,11354,Murray Hill,8.4
92,Queens Village,Queens,3.0,POINT (-73.73646000000005 40.71745000000003),Queens Village,"['-73.73646000000005', '40.71745000000003']",40.71745000000000,-73.73646000000010,11428,Queens Village,13.2
96,Rosedale,Queens,3.0,POINT (-73.73555000000006 40.66594000000003),Rosedale,"['-73.73555000000006', '40.66594000000003']",40.66594000000000,-73.73555000000010,11422,Rosedale,14
98,St. Albans,Queens,3.0,POINT (-73.76551000000006 40.69118000000003),St. Albans,"['-73.76551000000006', '40.69118000000003']",40.69118000000000,-73.76551000000010,11412,St. Albans,11.8
117,Woodside,Queens,1.0,POINT (-73.90297000000005 40.74584000000004),Woodside,"['-73.90297000000005', '40.74584000000004']",40.74584000000000,-73.90297000000010,11377,Woodside,3.1
